file,ext4,end size
1,51906772,0
2,103813544,0
3,149430808,0
4,201337580,0
5,253244352,0
6,305153456,0
7,357060228,0
8,408967000,0
9,460873772,0
10,506491036,0
11,552106256,0
12,597723520,0
13,649630292,0
14,701537064,0
15,747154328,0
16,799061100,0
17,850967872,0
18,902874644,0
19,954781416,0
20,1006688188,0
21,1052303408,0
22,1104210180,0
23,1156119284,0
24,1208026056,0
25,1259932828,0
26,1305548048,0
27,1357454820,0
28,1403070040,0
29,1454979144,0
30,1506885916,0
31,1558792688,0
32,1610699460,0
33,1662606232,0
34,1714513004,0
35,1766419776,0
36,1818326548,0
37,1870235652,0
38,1915850872,0
39,1967757644,0
40,2019664416,0
41,2071573520,0
42,2123480292,0
43,2169095512,0
44,2221004616,0
45,2272911388,0
46,2318526608,0
47,2370433380,0
48,2422340152,0
49,2467955372,0
50,2519862144,2375983522
51,2565477364,0
52,2617386468,0
53,2669293240,0
54,2721200012,0
55,2773106784,0
56,2825013556,0
57,2870628776,0
58,2922535548,0
59,2974442320,0
60,3026349092,0
61,3078255864,0
62,3130162636,0
63,3182069408,0
64,3227686672,0
65,3279593444,0
66,3331500216,0
67,3383409320,0
68,3435316092,0
69,3487222864,3187903479
