file,storage consumption
1,30292317
2,63089468
3,96128235
4,129822104
5,158775252
6,190146070
7,221743885
8,255783120
9,285977416
10,317867421
11,343524221
12,377507435
13,409932032
14,439865837
15,472809596
16,506461904
17,536205339
18,567499644
19,598572082
20,630023471
21,661511897
22,693519170
23,726828877
24,751181542
25,783341097
26,814024537
27,846429765
28,879503873
29,909743647
30,942603044
31,975757167
32,1007374061
33,1038257350
34,1071048733
35,1101622831
36,1132793833
37,1162622931
38,1196371858
39,1227702994
40,1258355143
41,1287280238
42,1320543014
43,1351113973
44,1383227816
45,1414738022
46,1445207906
47,1475384882
48,1506226723
49,1536490596
50,1568447753
51,1598140027
52,1631232940
53,1660644224
54,1687518139
55,1719552675
56,1751293635
57,1783888898
58,1816274914
59,1847299833
60,1878776380
61,1911144918
62,1942863505
63,1975834380
64,2008934824
65,2037719872
66,2067776430
67,2100221199
68,2134308021
69,2167363187
