file,origin size,final size
1,438525916,22836503
2,817569354,42218681
3,1515548394,81375136
4,1923519998,102773796
5,2320956047,123582918
6,2759573399,146345111
7,4337556305,327987298
8,4782453351,351459859
9,5206073693,373783840
10,5531723676,394005259
11,5950158070,416074987
12,6372010904,438062324
13,6785152308,459783423
14,7208356645,481618691
15,7634660717,503930891
16,7685531727,507012291
17,8105813519,529053154
18,8429965131,549549061
19,8778345463,567749155
20,9089478579,583330079
21,9499375455,604812670
22,14919853296,878274946
23,15378187133,902447266
24,15827773690,926001705
25,15916141779,928521385
26,16345484420,951035479
27,16787434967,974401520
28,17155343478,993088199
29,17603047918,1016539870
30,18040888294,1039416894
31,18441453208,1060011981
32,18818871371,1079455745
