file,origin size,dest size
1,45615220,203988992
2,97521992,225484800
3,149431096,253272064
4,195046316,270503936
5,246953088,313102336
6,298859860,334467072
7,350766632,367104000
8,402673404,388599808
9,454580176,416387072
10,506486948,460054528
11,552102168,516284416
12,597717388,535552000
13,649624160,559669248
14,695239380,703168512
15,747146152,748519424
16,799052924,769097728
17,850959696,794918912
18,902866468,818905088
19,954773240,922050560
20,1006682344,976183296
21,1058589116,1002790912
22,1104204336,1025204224
23,1156111108,1044996096
24,1201726328,1198530560
25,1253633100,1228283904
26,1305539872,1255284736
27,1357446644,1281368064
28,1403061864,1306271744
29,1454968636,1335500800
30,1506875408,1668575232
31,1558782180,1704751104
32,1610691284,1725984768
33,1656308548,1735196672
34,1701925812,1770455040
35,1753832584,1798635520
36,1805741688,1823014912
37,1857648460,1846476800
38,1909555232,1861943296
39,1961462004,1908396032
40,2007079268,1962266624
41,2058986040,1986646016
42,2110892812,2129661952
43,2162799584,2200834048
44,2214706356,2225868800
45,2266613128,2245267456
46,2318519900,2274234368
47,2370429004,2354487296
48,2422335776,2413338624
49,2474242548,2438766592
50,2519857768,2478219264
51,2571764540,2504433664
52,2623671312,2636242944
53,2675578084,2667175936
54,2727487188,2699550720
55,2779393960,2733236224
56,2831300732,2827558912
57,2883207504,2883002368
58,2928822724,2905939968
59,2980729496,2947883008
60,3032636268,2974621696
61,3084545372,3069267968
62,3136452144,3127070720
63,3182069408,3147386880
64,3233976180,3175960576
65,3285882952,3291570176
66,3337789724,3340722176
67,3389696496,3368247296
68,3435313760,3391840256
69,3487222864,3498434560
